web-scraper-order,web-scraper-start-url,law1,law1-href,law2,law2-href
"1750389494-1","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","第 一 章 法例","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=2","",""
"1750389494-2","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 編 總則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=1"
"1750389494-3","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 章 法例","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=2"
"1750389494-4","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 章 人","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=3"
"1750389494-5","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 自然人","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=4"
"1750389494-6","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 法人","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=5"
"1750389494-7","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 款 通則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=6"
"1750389494-8","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 款 社團","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=7"
"1750389494-9","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 款 財團","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=8"
"1750389494-10","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 章 物","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=9"
"1750389494-11","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 章 法律行為","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=10"
"1750389494-12","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 通則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=11"
"1750389494-13","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 行為能力","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=12"
"1750389494-14","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 節 意思表示","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=13"
"1750389494-15","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 節 條件及期限","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=14"
"1750389494-16","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 五 節 代理","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=15"
"1750389494-17","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 六 節 無效及撤銷","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=16"
